country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q262,Algeria,country in North Africa,"dz, PDRA, People’s Democratic Republic of Algeria",https://en.wikipedia.org/wiki/Algeria,http://www.wikidata.org/entity/Q3561,Algiers,capital city of Algeria,,
http://www.wikidata.org/entity/Q916,Angola,country in Africa,"Ꜵ, ao, Republic of Angola",https://en.wikipedia.org/wiki/Angola,http://www.wikidata.org/entity/Q3897,Luanda,capital of Angola,São Paulo da Assunção de Loanda,
http://www.wikidata.org/entity/Q962,Benin,country in Africa,"Dahomey, Republic of Benin, bj, 🇧🇯",https://en.wikipedia.org/wiki/Benin,http://www.wikidata.org/entity/Q3799,Porto-Novo,capital of Benin,"Adjacé, Hogbonou",
http://www.wikidata.org/entity/Q963,Botswana,country in Africa,"bw, Lefatshe la Botswana, Republic of Botswana, 🇧🇼",https://en.wikipedia.org/wiki/Botswana,http://www.wikidata.org/entity/Q3919,Gaborone,capital of Botswana,,
http://www.wikidata.org/entity/Q965,Burkina Faso,country in Africa,"bf, 🇧🇫",https://en.wikipedia.org/wiki/Burkina%20Faso,http://www.wikidata.org/entity/Q3777,Ouagadougou,capital of Burkina Faso,,
http://www.wikidata.org/entity/Q967,Burundi,country in Africa,"bi, Republic of Burundi, 🇧🇮",https://en.wikipedia.org/wiki/Burundi,http://www.wikidata.org/entity/Q3854,Bujumbura,capital of Burundi,,
http://www.wikidata.org/entity/Q1009,Cameroon,country in Africa,"cm, 🇨🇲",https://en.wikipedia.org/wiki/Cameroon,http://www.wikidata.org/entity/Q3808,Yaoundé,capital of Cameroon,"Yaounde, Cameroon",
http://www.wikidata.org/entity/Q1011,Cape Verde,country comprising ten islands off the Western coast of Africa,"CV, Cabo Verde, CPV, cv, Republic of Cape Verde, 🇨🇻",https://en.wikipedia.org/wiki/Cape%20Verde,http://www.wikidata.org/entity/Q3751,Praia,capital of Cape Verde,,
http://www.wikidata.org/entity/Q929,Central African Republic,country in Africa,"CAR, Centrafrique, cf, Ködörösêse tî Bêafrîka, République centrafricaine, 🇨🇫",https://en.wikipedia.org/wiki/Central%20African%20Republic,http://www.wikidata.org/entity/Q3832,Bangui,capital city of the Central African Republic,,
http://www.wikidata.org/entity/Q657,Chad,country in central Africa,"Ǧumhūriyyat Tšād, Republic of Chad, République du Tchad, Tchad, td, جمهورية تشاد",https://en.wikipedia.org/wiki/Chad,http://www.wikidata.org/entity/Q3659,N'Djamena,capital and largest city of Chad,NDjamena,
http://www.wikidata.org/entity/Q970,Comoros,sovereign archipelago island nation in the Indian Ocean,"km, al-Ittiḥād al-Qamarī, al-Ittiḥād al-Qumurī, Juzur al-Qamar, Juzur al-Qumur, Udzima wa Komori, Union des Comores, Union of the Comoros, 🇰🇲",https://en.wikipedia.org/wiki/Comoros,http://www.wikidata.org/entity/Q3901,Moroni,city of the Comoros islands,,
http://www.wikidata.org/entity/Q1008,Côte d'Ivoire,country in Africa,"ci, Cote d'Ivoire, Ivory Coast, Republic of Côte d'Ivoire, 🇨🇮",https://en.wikipedia.org/wiki/Ivory%20Coast,http://www.wikidata.org/entity/Q3768,Yamoussoukro,capital city of Côte d'Ivoire,,
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,country in Africa,"cd, Congo, Congo-Kinshasa, Dem. Rep. Congo, Dem. Republic of Congo, Dem. Republic of the Congo, Democratic Republic of Congo, DR Congo, DRC, Zaire, 🇨🇩",https://en.wikipedia.org/wiki/Democratic%20Republic%20of%20the%20Congo,http://www.wikidata.org/entity/Q3838,Kinshasa,capital city of the Democratic Republic of the Congo,"Leopoldstad, Léopoldville",
