country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q889,Afghanistan,republic in South Asia,"af, Islamic Republic of Afghanistan, 🇦🇫",https://en.wikipedia.org/wiki/Afghanistan,http://www.wikidata.org/entity/Q5838,Kabul,capital of Afghanistan,"Cabool, Cabul, Caubul, Kabol",
http://www.wikidata.org/entity/Q227,Azerbaijan,republic in Western Asia and Eastern Europe,"az, Republic of Azerbaijan, 🇦🇿",https://en.wikipedia.org/wiki/Azerbaijan,http://www.wikidata.org/entity/Q9248,Baku,capital of Azerbaijan,Baki,
http://www.wikidata.org/entity/Q398,Bahrain,constitutional monarchy in Southwest Asia,"bh, Kingdom of Bahrain, 🇧🇭",https://en.wikipedia.org/wiki/Bahrain,http://www.wikidata.org/entity/Q3882,Manama,capital of Bahrain,,
http://www.wikidata.org/entity/Q902,Bangladesh,country in South Asia,"bd, People's Republic of Bangladesh, 🇧🇩",https://en.wikipedia.org/wiki/Bangladesh,http://www.wikidata.org/entity/Q1354,Dhaka,capital of Bangladesh,"City of Mosques, Dacca",
http://www.wikidata.org/entity/Q917,Bhutan,country in South Asia,"bt, Kingdom of Bhutan, 🇧🇹",https://en.wikipedia.org/wiki/Bhutan,http://www.wikidata.org/entity/Q9270,Thimphu,capital of Bhutan,Thimpu,
http://www.wikidata.org/entity/Q921,Brunei,country in Asia,"bn, Brunei Darussalam, Nation of Brunei, the Abode of Peace, 🇧🇳",https://en.wikipedia.org/wiki/Brunei,http://www.wikidata.org/entity/Q9279,Bandar Seri Begawan,capital of Brunei,"BSB, Bandar, Seri Begawan",
http://www.wikidata.org/entity/Q424,Cambodia,constitutional monarchy in Southeast Asia,"Kingdom of Cambodia, kh",https://en.wikipedia.org/wiki/Cambodia,http://www.wikidata.org/entity/Q1850,Phnom Penh,capital of Cambodia,,
http://www.wikidata.org/entity/Q229,Cyprus,country in Southern Europe,"cy, Republic of Cyprus, 🇨🇾",https://en.wikipedia.org/wiki/Cyprus,http://www.wikidata.org/entity/Q3856,Nicosia,capital city of Cyprus,Lefkosia,
http://www.wikidata.org/entity/Q574,East Timor,country in South East Asia,"Democratic Republic of Timor-Leste, Timor-Leste, tl, 🇹🇱",https://en.wikipedia.org/wiki/East%20Timor,http://www.wikidata.org/entity/Q9310,Dili,Capital of East Timor,City of Dili,
http://www.wikidata.org/entity/Q79,Egypt,republic in North Africa,"Arab Republic of Egypt, eg, EGY, Arab Rep. Egypt",https://en.wikipedia.org/wiki/Egypt,http://www.wikidata.org/entity/Q85,Cairo,capital city of Egypt,"Cairo, Egypt",
