country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q222,Albania,republic in Southeast Europe,"Republic of Albania, al, Republika e Shqipërisë, Shqipërisë, 🇦🇱",https://en.wikipedia.org/wiki/Albania,http://www.wikidata.org/entity/Q19689,Tirana,capital of Albania,"Tiranë, Tirane",
http://www.wikidata.org/entity/Q228,Andorra,European microstate between France and Spain,"ad, Principality of Andorra, Principality of the Valleys of Andorra, 🇦🇩",https://en.wikipedia.org/wiki/Andorra,http://www.wikidata.org/entity/Q1863,Andorra la Vella,capital of Andorra,,
http://www.wikidata.org/entity/Q399,Armenia,republic in Western Asia,"Republic of Armenia, 🇦🇲",https://en.wikipedia.org/wiki/Armenia,http://www.wikidata.org/entity/Q1953,Yerevan,capital of Armenia,"Erevan, Eriwan",
http://www.wikidata.org/entity/Q40,Austria,federal republic in Central Europe,"at, AT, Österreich, Republik Österreich, Republic of Austria, 🇦🇹",https://en.wikipedia.org/wiki/Austria,http://www.wikidata.org/entity/Q1741,Vienna,capital and one of nine States of Austria,"W, Wien, Vienna, Austria",
http://www.wikidata.org/entity/Q227,Azerbaijan,republic in Western Asia and Eastern Europe,"az, Republic of Azerbaijan, 🇦🇿",https://en.wikipedia.org/wiki/Azerbaijan,http://www.wikidata.org/entity/Q9248,Baku,capital of Azerbaijan,Baki,
http://www.wikidata.org/entity/Q184,Belarus,republic in Eastern Europe,"White Russia, by, Republic of Belarus, White Ruthenia, 🇧🇾",https://en.wikipedia.org/wiki/Belarus,http://www.wikidata.org/entity/Q2280,Minsk,capital city of Belarus,"Mińsk, Менск, Минск, Мінск",
http://www.wikidata.org/entity/Q31,Belgium,constitutional monarchy in Western Europe,"be, Kingdom of Belgium",https://en.wikipedia.org/wiki/Belgium,http://www.wikidata.org/entity/Q239,Brussels,"city and municipality in the Brussels-Capital Region, capital of Belgium","Bruxelles, Brussel, Brussels City, Brussels, Belgium, City of Brussels, Stad Brussel, Ville de Bruxelles",
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,republic in Southeast Europe,"B&H, Bosnia, BiH, Bosnia & Herzegovina, Bosnia-Herzegovina, 🇧🇦",https://en.wikipedia.org/wiki/Bosnia%20and%20Herzegovina,http://www.wikidata.org/entity/Q11194,Sarajevo,capital city of Bosnia and Herzegovina,,
http://www.wikidata.org/entity/Q219,Bulgaria,country in Eastern Europe,"bg, Republic of Bulgaria, 🇧🇬",https://en.wikipedia.org/wiki/Bulgaria,http://www.wikidata.org/entity/Q472,Sofia,capital city of Bulgaria,"Serdica, Sredez",
http://www.wikidata.org/entity/Q224,Croatia,republic in Southeast Europe,"hr, HR, HRV, Republic of Croatia, 🇭🇷",https://en.wikipedia.org/wiki/Croatia,http://www.wikidata.org/entity/Q1435,Zagreb,capital city of Croatia,,
http://www.wikidata.org/entity/Q213,Czech Republic,republic in Central Europe,"cz, Czechia, CZR",https://en.wikipedia.org/wiki/Czech%20Republic,http://www.wikidata.org/entity/Q1085,Prague,capital city of the Czech Republic,Praha,
http://www.wikidata.org/entity/Q191,Estonia,republic in North Europe,"ee, Eesti, EST, Estland, Republic of Estonia, 🇪🇪",https://en.wikipedia.org/wiki/Estonia,http://www.wikidata.org/entity/Q1770,Tallinn,capital city of Estonia,"Reval, Tallinna",
http://www.wikidata.org/entity/Q33,Finland,country in Northern Europe,"Finlandia, Suomi, fi, Finlande, Finnia, Finnland, Land of Thousand Lakes, Republic of Finland, Republiken Finland, Suomen tasavalta, 🇫🇮",https://en.wikipedia.org/wiki/Finland,http://www.wikidata.org/entity/Q1757,Helsinki,city in the region of Uusimaa in Finland,"Helsingfors, Helsingia",
http://www.wikidata.org/entity/Q142,France,republic in Western Europe,"fr, FR, French Republic, La France, Republic of France, République française",https://en.wikipedia.org/wiki/France,http://www.wikidata.org/entity/Q90,Paris,capital city of France,"City of Light, Paris, France",
http://www.wikidata.org/entity/Q230,Georgia,country in Eastern Europe,"Republic of Georgia, Sakartvelo, Saqartvelo, 🇬🇪",https://en.wikipedia.org/wiki/Georgia%20%28country%29,http://www.wikidata.org/entity/Q994,Tbilisi,capital city of Georgia,"Tiflis, Tbilissi, Tpilisi, Tpilissi, თბილისი, ტფილისი",
http://www.wikidata.org/entity/Q230,Georgia,country in Eastern Europe,"Republic of Georgia, Sakartvelo, Saqartvelo, 🇬🇪",https://en.wikipedia.org/wiki/Georgia%20%28country%29,http://www.wikidata.org/entity/Q172415,Kutaisi,third largest city and legislative capital of Georgia,,
http://www.wikidata.org/entity/Q183,Germany,country in central Europe,"FRG, BRD, Federal Republic of Germany, de, Bundesrepublik Deutschland, 🇩🇪",https://en.wikipedia.org/wiki/Germany,http://www.wikidata.org/entity/Q64,Berlin,capital city of Germany,"Berlin, Germany",
http://www.wikidata.org/entity/Q41,Greece,republic in Southern Europe,"gr, Hellas, Hellenic Republic, Republic of Greece",https://en.wikipedia.org/wiki/Greece,http://www.wikidata.org/entity/Q1524,Athens,capital city of Greece,,
http://www.wikidata.org/entity/Q28,Hungary,country in Central Europe,"hu, 🇭🇺",https://en.wikipedia.org/wiki/Hungary,http://www.wikidata.org/entity/Q1781,Budapest,capital city of Hungary,"Buda Pest, Buda-Pest",
http://www.wikidata.org/entity/Q189,Iceland,island republic in Northern Europe,"Island, is, Republic of Iceland, 🇮🇸",https://en.wikipedia.org/wiki/Iceland,http://www.wikidata.org/entity/Q1764,Reykjavík,capital and largest city in Iceland,"Reykjavik, Reykjavíkurborg",
http://www.wikidata.org/entity/Q27,Ireland,republic covering major parts of the island of Ireland,"Hibernia, IRL, Republic of Ireland, IE, ie, Éire, ireland, Ireland, Republic of, 🇮🇪",https://en.wikipedia.org/wiki/Republic%20of%20Ireland,http://www.wikidata.org/entity/Q1761,Dublin,capital city of Ireland,"City of Dublin, Dublin city",
http://www.wikidata.org/entity/Q38,Italy,republic in Southern Europe,"it, Italia, IT, 🇮🇹, Italian Republic",https://en.wikipedia.org/wiki/Italy,http://www.wikidata.org/entity/Q220,Rome,capital city of Italy,"Roma, The Eternal City",
http://www.wikidata.org/entity/Q232,Kazakhstan,republic in Central Asia,"kz, Qazaqstan, Republic of Kazakhstan",https://en.wikipedia.org/wiki/Kazakhstan,http://www.wikidata.org/entity/Q1520,Astana,capital of Kazakhstan,,
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,sovereign state in Europe and the Caribbean,"Netherlands, NL, the Netherlands",https://en.wikipedia.org/wiki/Kingdom%20of%20the%20Netherlands,http://www.wikidata.org/entity/Q727,Amsterdam,capital and largest city in the Netherlands,"A'dam, Amsterdam, Netherlands, Amsterdam, NL, Mokum",
http://www.wikidata.org/entity/Q211,Latvia,republic in Eastern Europe,"Latvian Republic, Latvija, lv, Republic of Latvia, 🇱🇻",https://en.wikipedia.org/wiki/Latvia,http://www.wikidata.org/entity/Q1773,Riga,capital and largest city of Latvia,,
http://www.wikidata.org/entity/Q347,Liechtenstein,principality in Central Europe,"FL, li, LI, Principality of Liechtenstein, 🇱🇮",https://en.wikipedia.org/wiki/Liechtenstein,http://www.wikidata.org/entity/Q1844,Vaduz,capital of Liechtenstein,,
http://www.wikidata.org/entity/Q37,Lithuania,republic in Eastern Europe,"Lietuva, lt, Republic of Lithuania, 🇱🇹",https://en.wikipedia.org/wiki/Lithuania,http://www.wikidata.org/entity/Q216,Vilnius,capital of Lithuania,"Wilno, Vilna",
http://www.wikidata.org/entity/Q32,Luxembourg,grand duchy in Western Europe,"LU, Luxemburg, Grand Duchy of Luxembourg, lu, 🇱🇺",https://en.wikipedia.org/wiki/Luxembourg,http://www.wikidata.org/entity/Q1842,Luxembourg,capital city of the country Luxembourg,"City of Luxembourg, Luxembourg City",
http://www.wikidata.org/entity/Q233,Malta,island republic in Europe,"mt, Republic of Malta, 🇲🇹",https://en.wikipedia.org/wiki/Malta,http://www.wikidata.org/entity/Q23800,Valletta,capital of Malta,"Capital of Malta, Città Umilissima, Il-Belt Valletta, La Valleta, La Valletta, Valetta, Valleta",
http://www.wikidata.org/entity/Q217,Moldova,republic in Eastern Europe,"md, Moldavia, Republic of Moldova, Republica Moldova, 🇲🇩",https://en.wikipedia.org/wiki/Moldova,http://www.wikidata.org/entity/Q21197,Chișinău,capital of Moldova,"Chisinau, Chişinău, Kishinev, Кишинёв",
http://www.wikidata.org/entity/Q235,Monaco,principality in Western Europe,"mc, Principality of Monaco, 🇲🇨",https://en.wikipedia.org/wiki/Monaco,http://www.wikidata.org/entity/Q55115,Monaco-Ville,town in Monaco,,
http://www.wikidata.org/entity/Q236,Montenegro,country in Europe,"me, 🇲🇪",https://en.wikipedia.org/wiki/Montenegro,http://www.wikidata.org/entity/Q23564,Podgorica,capital city of Montenegro,"Burguriçe, Capital of Montenegro, Podgoritsa, Titograd",
http://www.wikidata.org/entity/Q20,Norway,constitutional monarchy in Northern Europe,"NO, Norge, no, Kingdom of Norway, NOR, Noreg, Norvège‏, Norwegen‏",https://en.wikipedia.org/wiki/Norway,http://www.wikidata.org/entity/Q585,Oslo,capital city and county in Norway,"Christiania, Kristiania",
http://www.wikidata.org/entity/Q36,Poland,republic in Central-Eastern Europe,"PL, pl, POL, Polska, Republic of Poland",https://en.wikipedia.org/wiki/Poland,http://www.wikidata.org/entity/Q270,Warsaw,capital and largest city of Poland,Warszawa,
http://www.wikidata.org/entity/Q45,Portugal,republic in Southwestern Europe,"PT, Portuguese Republic, pt, 🇵🇹",https://en.wikipedia.org/wiki/Portugal,http://www.wikidata.org/entity/Q597,Lisbon,capital city of Portugal,"Lissabon, Lisboa, Capital of Portugal, Lisboa Municipality, Lisboa, Portugal, Lisbon (Portugal), Lisbon Municipality, Lisbon, Lisboa, Lisbon, Portugal, Lisboner, Lisboners, Lisbonne, Municipality of Lisbon, Parishes of lisbon, Parishes of Lisbon, PTLIS, UN/LOCODE:PTLIS",
