country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,country in the Caribbean,"ag, 🇦🇬",https://en.wikipedia.org/wiki/Antigua%20and%20Barbuda,http://www.wikidata.org/entity/Q36262,St. John's,Capital city of Antigua and Barbuda,Saint John's,
http://www.wikidata.org/entity/Q244,Barbados,country in the Caribbean,"bb, BB, 🇧🇧",https://en.wikipedia.org/wiki/Barbados,http://www.wikidata.org/entity/Q36168,Bridgetown,capital of Barbados,,
http://www.wikidata.org/entity/Q242,Belize,Country in Central America,"bz, British Honduras, 🇧🇿",https://en.wikipedia.org/wiki/Belize,http://www.wikidata.org/entity/Q3043,Belmopan,capital of Belize,"The Garden City, City of Promise, The Planned City",
http://www.wikidata.org/entity/Q800,Costa Rica,country in Central America,"cr, Republic of Costa Rica, 🇨🇷",https://en.wikipedia.org/wiki/Costa%20Rica,http://www.wikidata.org/entity/Q3070,San José,capital of Costa Rica,"San Jose, San José, Costa Rica",
http://www.wikidata.org/entity/Q784,Dominica,country in the Caribbean,"Commonwealth of Dominica, The Commonwealth of Dominica, 🇩🇲",https://en.wikipedia.org/wiki/Dominica,http://www.wikidata.org/entity/Q36281,Roseau,capital of Dominica,,
http://www.wikidata.org/entity/Q786,Dominican Republic,country in the Caribbean,"RD, DO, República Dominicana, 🇩🇴",https://en.wikipedia.org/wiki/Dominican%20Republic,http://www.wikidata.org/entity/Q34820,Santo Domingo,capital of the Dominican Republic,"Santo Domingo de Guzmán, Santo Domingo, Dominican Republic",
http://www.wikidata.org/entity/Q792,El Salvador,country in Central America,"sv, 🇸🇻",https://en.wikipedia.org/wiki/El%20Salvador,http://www.wikidata.org/entity/Q3110,San Salvador,capital of El Salvador,,
http://www.wikidata.org/entity/Q769,Grenada,country in the Caribbean,"gd, 🇬🇩",https://en.wikipedia.org/wiki/Grenada,http://www.wikidata.org/entity/Q41547,St. George's,capital of Grenada,"Saint Georges, Granada, St Georges, Granada, St. George's, Grenada",
http://www.wikidata.org/entity/Q790,Haiti,country in the Caribbean,"Hayti, HT, ht, Ayiti, Haitian Republic, Republic of Haiti, République d'Haïti, 🇭🇹",https://en.wikipedia.org/wiki/Haiti,http://www.wikidata.org/entity/Q34261,Port-au-Prince,capital of Haiti,Port au Prince,
http://www.wikidata.org/entity/Q783,Honduras,republic in Central America,"hn, 🇭🇳",https://en.wikipedia.org/wiki/Honduras,http://www.wikidata.org/entity/Q3238,Tegucigalpa,capital of Honduras,,
http://www.wikidata.org/entity/Q766,Jamaica,country in the Caribbean,"JA, Commonwealth of Jamaica, Jamdung, jm, 🇯🇲",https://en.wikipedia.org/wiki/Jamaica,http://www.wikidata.org/entity/Q34692,Kingston,capital of Jamaica,"Kingston, Jamaica",
http://www.wikidata.org/entity/Q96,Mexico,federal republic in North America,"MX, Estados Unidos Mexicanos, United Mexican States, Mexican Republic, mx, República Mexicana",https://en.wikipedia.org/wiki/Mexico,http://www.wikidata.org/entity/Q1489,Mexico City,capital city of Mexico,"Mexico City, City of Mexico, Ciudad de México, Mexico D.F., Mexico City, Mexico",
http://www.wikidata.org/entity/Q811,Nicaragua,country in Central America,"ni, 🇳🇮",https://en.wikipedia.org/wiki/Nicaragua,http://www.wikidata.org/entity/Q3274,Managua,capital of Nicaragua,,
http://www.wikidata.org/entity/Q804,Panama,republic in Central America,"pa, Republic of Panama, 🇵🇦",https://en.wikipedia.org/wiki/Panama,http://www.wikidata.org/entity/Q3306,Panama City,capital of Panama,Panama,
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,country in North America,"kn, Federation of Saint Kitts and Nevis, Saint Christopher and Nevis, St Kitts and Nevis, St. Kitts and Nevis, 🇰🇳",https://en.wikipedia.org/wiki/Saint%20Kitts%20and%20Nevis,http://www.wikidata.org/entity/Q41295,Basseterre,capital of Saint Kitts and Nevis,,
http://www.wikidata.org/entity/Q760,Saint Lucia,country in the Caribbean,"St. Lucia, St Lucia, lc, 🇱🇨",https://en.wikipedia.org/wiki/Saint%20Lucia,http://www.wikidata.org/entity/Q41699,Castries,capital of Saint Lucia,,
http://www.wikidata.org/entity/Q778,The Bahamas,country in North America,"Bahamas, bs, Commonwealth of the Bahamas, 🇧🇸",https://en.wikipedia.org/wiki/The%20Bahamas,http://www.wikidata.org/entity/Q2467,Nassau,capital city of the Commonwealth of the Bahamas,,
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,island country in the Caribbean Sea,"tt, Republic of Trinidad and Tobago, 🇹🇹",https://en.wikipedia.org/wiki/Trinidad%20and%20Tobago,http://www.wikidata.org/entity/Q39178,Port of Spain,capital of Trinidad and Tobago,"Port-of-Spain, Puerto España",
http://www.wikidata.org/entity/Q30,United States of America,federal republic in North America,"America, United States, USA, U.S., 🇺🇸, U.S.A., US, the States, the US",https://en.wikipedia.org/wiki/United%20States,http://www.wikidata.org/entity/Q61,"Washington, D.C.",capital city of the United States,"Washington, DC, D.C., District of Columbia, the District, Washington DC, Washington, DC",
