country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q408,Australia,constitutional monarchy in Oceania,"AU, AUS, au, British Colony of Australia, Commonwealth of Australia",https://en.wikipedia.org/wiki/Australia,http://www.wikidata.org/entity/Q3114,Canberra,capital city of Australia,,
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,country in Oceania,"FSM, fm, Micronesia, Fed. Sts. Micronesia, Fed. Sts. of Micronesia, Federated States of Micronesia, FSM, 🇫🇲",https://en.wikipedia.org/wiki/Federated%20States%20of%20Micronesia,http://www.wikidata.org/entity/Q42751,Palikir,capital of Federated States of Micronesia,,
http://www.wikidata.org/entity/Q712,Fiji,country in Oceania,"fj, Republic of Fiji, 🇫🇯",https://en.wikipedia.org/wiki/Fiji,http://www.wikidata.org/entity/Q38807,Suva,capital city of Fiji,,
http://www.wikidata.org/entity/Q710,Kiribati,island nation in the central Pacific Ocean,"Republic of Kiribati, 🇰🇮",https://en.wikipedia.org/wiki/Kiribati,http://www.wikidata.org/entity/Q131233,South Tarawa,capital of Kiribati,,
http://www.wikidata.org/entity/Q709,Marshall Islands,country in Oceania,"mh, Aolepān Aorōkin M̧ajeļ, Republic of the Marshall Islands, 🇲🇭",https://en.wikipedia.org/wiki/Marshall%20Islands,http://www.wikidata.org/entity/Q12919,Majuro,"coral atoll, capital of the Marshall Islands",Mājro,
http://www.wikidata.org/entity/Q697,Nauru,republic in Oceania,"Naoero, nr, Pleasant Island, Republic of Nauru, 🇳🇷",https://en.wikipedia.org/wiki/Nauru,http://www.wikidata.org/entity/Q31026,Yaren District,district and de facto capital of Nauru,"Makwa, Yaren, Moqua",
http://www.wikidata.org/entity/Q664,New Zealand,constitutional monarchy in Oceania,"Aotearoa, Dominion of New Zealand, nz, NZ, NZL, 🇳🇿",https://en.wikipedia.org/wiki/New%20Zealand,http://www.wikidata.org/entity/Q23661,Wellington,capital city of New Zealand,"Te Whanga-nui-a-Tara, Wellington, New Zealand, Wellington, NZ",
http://www.wikidata.org/entity/Q34020,Niue,island country in the South Pacific Ocean,"nu, Niuē, 🇳🇺",https://en.wikipedia.org/wiki/Niue,http://www.wikidata.org/entity/Q30966,Alofi,capital city of Niue,"Alofi, Niue",
http://www.wikidata.org/entity/Q695,Palau,republic in Oceania,"Belau, Pelew, pw, Republic of Belau, Republic of Palau, 🇵🇼",https://en.wikipedia.org/wiki/Palau,http://www.wikidata.org/entity/Q515229,Ngerulmud,capital of Palau,,
http://www.wikidata.org/entity/Q691,Papua New Guinea,republic in Oceania,"pg, PNG, Independent State of Papua New Guinea, 🇵🇬",https://en.wikipedia.org/wiki/Papua%20New%20Guinea,http://www.wikidata.org/entity/Q36526,Port Moresby,capital of Papua New Guinea,,
http://www.wikidata.org/entity/Q683,Samoa,country in Oceania,"ws, Independent State of Samoa, Western Samoa, 🇼🇸",https://en.wikipedia.org/wiki/Samoa,http://www.wikidata.org/entity/Q36260,Apia,capital of Samoa,,
http://www.wikidata.org/entity/Q685,Solomon Islands,country in Oceania,"sb, 🇸🇧",https://en.wikipedia.org/wiki/Solomon%20Islands,http://www.wikidata.org/entity/Q40921,Honiara,"capital of Solomon Islands, on the tropical island Guadalcanal",,
http://www.wikidata.org/entity/Q678,Tonga,country in Oceania,🇹🇴,https://en.wikipedia.org/wiki/Tonga,http://www.wikidata.org/entity/Q38834,Nuku'alofa,capital city of Tonga,,
http://www.wikidata.org/entity/Q672,Tuvalu,country in Oceania,"Ellice Islands, tv, 🇹🇻",https://en.wikipedia.org/wiki/Tuvalu,http://www.wikidata.org/entity/Q34126,Funafuti,atoll and capital of Tuvalu,Funafuti Island,
http://www.wikidata.org/entity/Q30,United States of America,federal republic in North America,"America, US, United States, USA, U.S., 🇺🇸, U.S.A., the States, the US",https://en.wikipedia.org/wiki/United%20States,http://www.wikidata.org/entity/Q61,"Washington, D.C.",capital city of the United States,"Washington, DC, D.C., District of Columbia, the District, Washington DC, Washington, DC",
http://www.wikidata.org/entity/Q686,Vanuatu,country in Oceania,"Republic of Vanuatu, vu, 🇻🇺",https://en.wikipedia.org/wiki/Vanuatu,http://www.wikidata.org/entity/Q37806,Port Vila,capital and largest city of Vanuatu,,
