country,countryLabel,countryContent,countryAlias,countryWikilink,capital,capitalLabel,capitalContent,capitalAlias,capitalWikilink
http://www.wikidata.org/entity/Q414,Argentina,federal republic in South America,"AR, ar, 🇦🇷, Argentine Republic",https://en.wikipedia.org/wiki/Argentina,http://www.wikidata.org/entity/Q1486,Buenos Aires,capital city of Argentina,"Buenos Ayres, Autonomous City of Buenos Aires, Buenos Aires, Argentina",
http://www.wikidata.org/entity/Q750,Bolivia,country in South America,"bo, 🇧🇴",https://en.wikipedia.org/wiki/Bolivia,http://www.wikidata.org/entity/Q1491,La Paz,De facto capital city of Bolivia,"La Paz, Bolivia, Nuestra Señora de La Paz",
http://www.wikidata.org/entity/Q750,Bolivia,country in South America,"bo, 🇧🇴",https://en.wikipedia.org/wiki/Bolivia,http://www.wikidata.org/entity/Q2907,Sucre,constitutional capital of Bolivia,"La Plata, Chuquisaca, Charcas",
http://www.wikidata.org/entity/Q155,Brazil,federal republic in South America,"br, Brasil, BR, Federative Republic of Brazil, República Federativa do Brasil, Estados Unidos del Brazil, Federativa República do Brasil, Republic Federative of Brasil",https://en.wikipedia.org/wiki/Brazil,http://www.wikidata.org/entity/Q2844,Brasília,capital city of Brazil,Brasilia,
http://www.wikidata.org/entity/Q298,Chile,republic in South America,"cl, 🇨🇱, Republic of Chile, República de Chile",https://en.wikipedia.org/wiki/Chile,http://www.wikidata.org/entity/Q2887,Santiago,capital city of Chile,Santiago de Chile,
http://www.wikidata.org/entity/Q739,Colombia,republic in South America and Central America,"co, United States of Colombia, Republic of Colombia, República de Colombia",https://en.wikipedia.org/wiki/Colombia,http://www.wikidata.org/entity/Q2841,Bogota,capital of Colombia and department of Cundinamarca,"Capital District, Santa Fe de Bogotá",
http://www.wikidata.org/entity/Q736,Ecuador,country in South America,"ec, ecu, 🇪🇨",https://en.wikipedia.org/wiki/Ecuador,http://www.wikidata.org/entity/Q2900,Riobamba,capital de Chimborazo Ecuador,La SULTANA De Los Andes,
http://www.wikidata.org/entity/Q734,Guyana,country in South America,"Co-operative Republic of Guyana, gy, Republic of Guyana, 🇬🇾",https://en.wikipedia.org/wiki/Guyana,http://www.wikidata.org/entity/Q10717,Georgetown,city of Guyana,Garden City of the Caribbean,
http://www.wikidata.org/entity/Q804,Panama,republic in Central America,"pa, Republic of Panama, 🇵🇦",https://en.wikipedia.org/wiki/Panama,http://www.wikidata.org/entity/Q3306,Panama City,capital of Panama,Panama,
http://www.wikidata.org/entity/Q733,Paraguay,country in South America,"py, Republic of Paraguay, 🇵🇾",https://en.wikipedia.org/wiki/Paraguay,http://www.wikidata.org/entity/Q2933,Asunción,capital of Paraguay,"Asu, Asuncion",
http://www.wikidata.org/entity/Q419,Peru,republic in South America,"Republic of Peru, República del Perú",https://en.wikipedia.org/wiki/Peru,http://www.wikidata.org/entity/Q2868,Lima,capital of Peru,"Lima, Peru",
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,country in the Caribbean,"vc, St Vincent, St. Vincent, Saint Vincent, St Vincent and the Grenadines, St. Vincent and the Grenadines, 🇻🇨",https://en.wikipedia.org/wiki/Saint%20Vincent%20and%20the%20Grenadines,http://www.wikidata.org/entity/Q41474,Kingstown,capital of Saint Vincent and the Grenadines,,
http://www.wikidata.org/entity/Q730,Suriname,country in South America,"sr, Dutch Guiana, Surinam, Republic of Surinam, Republic of Suriname, 🇸🇷",https://en.wikipedia.org/wiki/Suriname,http://www.wikidata.org/entity/Q3001,Paramaribo,capital of Suriname,,
http://www.wikidata.org/entity/Q77,Uruguay,republic in South America,"República Oriental del Uruguay, uy, 🇺🇾",https://en.wikipedia.org/wiki/Uruguay,http://www.wikidata.org/entity/Q1335,Montevideo,capital city of Uruguay,,
http://www.wikidata.org/entity/Q717,Venezuela,republic in northern South America,"VE, Bolivarian Republic of Venezuela, BR Venezuela, Estados Unidos de Venezuela",https://en.wikipedia.org/wiki/Venezuela,http://www.wikidata.org/entity/Q1533,Caracas,Capital of Venezuela,Santiago de León de Caracas,
