population,country,countryLabel,countryContent,countryAlias,countryWikilink
92000,http://www.wikidata.org/entity/Q1042,Seychelles,island country to the East of Africa,"sc, Republic of Seychelles, 🇸🇨",https://en.wikipedia.org/wiki/Seychelles
192993,http://www.wikidata.org/entity/Q1039,Sao Tomé and Príncipe,country in Africa,"st, Democratic Republic of São Tomé and Príncipe, Sao Tome and Principe, São Tomé and Príncipe, São Tomé og Príncipe, 🇸🇹",https://en.wikipedia.org/wiki/S%C3%A3o%20Tom%C3%A9%20and%20Pr%C3%ADncipe
498897,http://www.wikidata.org/entity/Q1011,Cape Verde,country comprising ten islands off the Western coast of Africa,"CV, Cabo Verde, CPV, cv, Republic of Cape Verde, 🇨🇻",https://en.wikipedia.org/wiki/Cape%20Verde
734917,http://www.wikidata.org/entity/Q970,Comoros,sovereign archipelago island nation in the Indian Ocean,"km, al-Ittiḥād al-Qamarī, al-Ittiḥād al-Qumurī, Juzur al-Qamar, Juzur al-Qumur, Udzima wa Komori, Union des Comores, Union of the Comoros, 🇰🇲",https://en.wikipedia.org/wiki/Comoros
757014,http://www.wikidata.org/entity/Q983,Equatorial Guinea,country in Africa,"gq, Republic of Equatorial Guinea, 🇬🇶",https://en.wikipedia.org/wiki/Equatorial%20Guinea
872932,http://www.wikidata.org/entity/Q977,Djibouti,country in Africa,"Gabuuti, Jabuuti, dj, Jībūtī, Republic of Djibouti, 🇩🇯",https://en.wikipedia.org/wiki/Djibouti
1249514,http://www.wikidata.org/entity/Q1050,Swaziland,country in Africa,"Eswatini, kaNgwane, Kingdom of Swaziland, sz, Umbuso weSwatini, 🇸🇿",https://en.wikipedia.org/wiki/Swaziland
1258653,http://www.wikidata.org/entity/Q1027,Mauritius,island nation in the Indian Ocean,"Maurice, mu, Moris, Île Maurice, Republic of Mauritius, 🇲🇺",https://en.wikipedia.org/wiki/Mauritius
1671711,http://www.wikidata.org/entity/Q1000,Gabon,country in Africa,"ga, Gabonese Republic, République Gabonaise, 🇬🇦",https://en.wikipedia.org/wiki/Gabon
1704255,http://www.wikidata.org/entity/Q1007,Guinea-Bissau,country in Western Africa,"Republic of Guinea-Bissau, 🇬🇼",https://en.wikipedia.org/wiki/Guinea-Bissau
1849285,http://www.wikidata.org/entity/Q1005,Gambia,country in West Africa,"gm, Islamic Republic of the Gambia, Republic of the Gambia, the Gambia, 🇬🇲",https://en.wikipedia.org/wiki/The%20Gambia
2021144,http://www.wikidata.org/entity/Q963,Botswana,country in Africa,"bw, Lefatshe la Botswana, Republic of Botswana, 🇧🇼",https://en.wikipedia.org/wiki/Botswana
2074465,http://www.wikidata.org/entity/Q1013,Lesotho,kingdom in southern Africa,"ls, Kingdom of Lesotho, 🇱🇸",https://en.wikipedia.org/wiki/Lesotho
2303315,http://www.wikidata.org/entity/Q1030,Namibia,country in Africa,"na, Republic of Namibia, 🇳🇦",https://en.wikipedia.org/wiki/Namibia
3889880,http://www.wikidata.org/entity/Q1025,Mauritania,country in Africa,"mr, Agawej, Gànnaar, Islamic Republic of Mauritania, Moritani, Muritanya, Murutaane, 🇲🇷",https://en.wikipedia.org/wiki/Mauritania
4294077,http://www.wikidata.org/entity/Q1014,Liberia,republic in West Africa,"lr, Republic of Liberia, 🇱🇷",https://en.wikipedia.org/wiki/Liberia
4447632,http://www.wikidata.org/entity/Q971,Republic of the Congo,country in Africa,"cg, Congo Republic, Congo-Brazzaville, Rep. Congo, Republic of Congo, République du Congo, 🇨🇬",https://en.wikipedia.org/wiki/Republic%20of%20the%20Congo
4616417,http://www.wikidata.org/entity/Q929,Central African Republic,country in Africa,"CAR, Centrafrique, cf, Ködörösêse tî Bêafrîka, République centrafricaine, 🇨🇫",https://en.wikipedia.org/wiki/Central%20African%20Republic
6092075,http://www.wikidata.org/entity/Q1044,Sierra Leone,country in Africa,"sl, Republic of Sierra Leone, 🇸🇱",https://en.wikipedia.org/wiki/Sierra%20Leone
6201521,http://www.wikidata.org/entity/Q1016,Libya,country in north Africa,"ly, State of Libya, 🇱🇾",https://en.wikipedia.org/wiki/Libya
6333135,http://www.wikidata.org/entity/Q986,Eritrea,country in the Horn of Africa,"er, Ertrā, Iritriyā, State of Eritrea, 🇪🇷",https://en.wikipedia.org/wiki/Eritrea
6816982,http://www.wikidata.org/entity/Q945,Togo,country in Africa,"République Togolaise, tg, Togolese Republic, 🇹🇬",https://en.wikipedia.org/wiki/Togo
10162532,http://www.wikidata.org/entity/Q967,Burundi,country in Africa,"bi, Republic of Burundi, 🇧🇮",https://en.wikipedia.org/wiki/Burundi
10323474,http://www.wikidata.org/entity/Q962,Benin,country in Africa,"Dahomey, Republic of Benin, bj, 🇧🇯",https://en.wikipedia.org/wiki/Benin
10495583,http://www.wikidata.org/entity/Q1045,Somalia,country in Africa,"aṣ-Ṣūmāl, Federal Republic of Somalia, so, Soomaaliya, 🇸🇴",https://en.wikipedia.org/wiki/Somalia
10628972,http://www.wikidata.org/entity/Q1006,Guinea,country in Africa,"gn, Guinea-Conakry, Republic of Guinea, République de Guinée, 🇬🇳",https://en.wikipedia.org/wiki/Guinea
10835873,http://www.wikidata.org/entity/Q948,Tunisia,country in northern Africa,"al-Jumhūriyyah at-Tūnisiyyah, Republic of Tunisia, République tunisienne, tn, Tūnis, Tunisian Republic, Tunisie, 🇹🇳",https://en.wikipedia.org/wiki/Tunisia
11776522,http://www.wikidata.org/entity/Q1037,Rwanda,country in Africa,"Republic of Rwanda, rw, 🇷🇼",https://en.wikipedia.org/wiki/Rwanda
12340000,http://www.wikidata.org/entity/Q958,South Sudan,country in Africa,"Republic of South Sudan, Southern Sudan, ss, 🇸🇸",https://en.wikipedia.org/wiki/South%20Sudan
12825314,http://www.wikidata.org/entity/Q657,Chad,country in central Africa,"Ǧumhūriyyat Tšād, Republic of Chad, République du Tchad, Tchad, td, جمهورية تشاد",https://en.wikipedia.org/wiki/Chad
14133280,http://www.wikidata.org/entity/Q1041,Senegal,country in Western Africa,"Republic of Senegal, République du Sénégal, Sénégal, sn, 🇸🇳",https://en.wikipedia.org/wiki/Senegal
14149648,http://www.wikidata.org/entity/Q954,Zimbabwe,country in Africa,"Republic of Zimbabwe, zw, 🇿🇼",https://en.wikipedia.org/wiki/Zimbabwe
14309466,http://www.wikidata.org/entity/Q953,Zambia,country in Africa,"zm, ZAM, Republic of Zambia, 🇿🇲",https://en.wikipedia.org/wiki/Zambia
15301650,http://www.wikidata.org/entity/Q912,Mali,country in Africa,"ml, Republic of Mali, République du Mali, 🇲🇱",https://en.wikipedia.org/wiki/Mali
16362567,http://www.wikidata.org/entity/Q1020,Malawi,country in Africa,"mw, Republic of Malawi, 🇲🇼",https://en.wikipedia.org/wiki/Malawi
16934839,http://www.wikidata.org/entity/Q965,Burkina Faso,country in Africa,"bf, 🇧🇫",https://en.wikipedia.org/wiki/Burkina%20Faso
17831270,http://www.wikidata.org/entity/Q1032,Niger,country in Western Africa,"ne, Republic Niger, Republic of Niger, 🇳🇪",https://en.wikipedia.org/wiki/Niger
20316086,http://www.wikidata.org/entity/Q1008,Côte d'Ivoire,country in Africa,"ci, Cote d'Ivoire, Ivory Coast, Republic of Côte d'Ivoire, 🇨🇮",https://en.wikipedia.org/wiki/Ivory%20Coast
21471618,http://www.wikidata.org/entity/Q916,Angola,country in Africa,"Ꜵ, ao, Republic of Angola",https://en.wikipedia.org/wiki/Angola
22253959,http://www.wikidata.org/entity/Q1009,Cameroon,country in Africa,"cm, 🇨🇲",https://en.wikipedia.org/wiki/Cameroon
22924851,http://www.wikidata.org/entity/Q1019,Madagascar,"country in the Indian Ocean, off the coast of Southeast Africa","mg, Republic of Madagascar, 🇲🇬",https://en.wikipedia.org/wiki/Madagascar
25833752,http://www.wikidata.org/entity/Q1029,Mozambique,country in Africa,"MOZ, Moçambique, mz, MZ, Republic of Mozambique, República de Moçambique, 🇲🇿",https://en.wikipedia.org/wiki/Mozambique
25904598,http://www.wikidata.org/entity/Q117,Ghana,country in West Africa,"Republic of Ghana, 🇬🇭",https://en.wikipedia.org/wiki/Ghana
