population,country,countryLabel,countryContent,countryAlias,countryWikilink
345023,http://www.wikidata.org/entity/Q826,Maldives,country in Asia,"mv, 🇲🇻",https://en.wikipedia.org/wiki/Maldives
417784,http://www.wikidata.org/entity/Q921,Brunei,country in Asia,"bn, Brunei Darussalam, Nation of Brunei, the Abode of Peace, 🇧🇳",https://en.wikipedia.org/wiki/Brunei
753947,http://www.wikidata.org/entity/Q917,Bhutan,country in South Asia,"bt, Kingdom of Bhutan, 🇧🇹",https://en.wikipedia.org/wiki/Bhutan
1141166,http://www.wikidata.org/entity/Q229,Cyprus,country in Southern Europe,"cy, Republic of Cyprus, 🇨🇾",https://en.wikipedia.org/wiki/Cyprus
1180069,http://www.wikidata.org/entity/Q574,East Timor,country in South East Asia,"Democratic Republic of Timor-Leste, Timor-Leste, tl, 🇹🇱",https://en.wikipedia.org/wiki/East%20Timor
1332171,http://www.wikidata.org/entity/Q398,Bahrain,constitutional monarchy in Southwest Asia,"bh, Kingdom of Bahrain, 🇧🇭",https://en.wikipedia.org/wiki/Bahrain
2168673,http://www.wikidata.org/entity/Q846,Qatar,country in western Asia,"🇶🇦, qa, State of Qatar",https://en.wikipedia.org/wiki/Qatar
2953190,http://www.wikidata.org/entity/Q711,Mongolia,"country in East Asia, between China and Russia","mn, MNG, Mongol uls, 🇲🇳",https://en.wikipedia.org/wiki/Mongolia
3632444,http://www.wikidata.org/entity/Q842,Oman,country in Western Asia,"om, 🇴🇲",https://en.wikipedia.org/wiki/Oman
4348395,http://www.wikidata.org/entity/Q817,Kuwait,emirate in Western Asia,"Dawlat al-Kuwait, kw, State of Kuwait, 🇰🇼",https://en.wikipedia.org/wiki/Kuwait
4467390,http://www.wikidata.org/entity/Q822,Lebanon,republic in Western Asia,"lb, Lebanese Republic, Republic of Lebanon, 🇱🇧",https://en.wikipedia.org/wiki/Lebanon
5125693,http://www.wikidata.org/entity/Q874,Turkmenistan,republic in Central Asia,"tm, Turkmenia, 🇹🇲",https://en.wikipedia.org/wiki/Turkmenistan
5781728,http://www.wikidata.org/entity/Q334,Singapore,republic in Southeast Asia,"Republic of Singapore, sg, SG, 🇸🇬",https://en.wikipedia.org/wiki/Singapore
6000000,http://www.wikidata.org/entity/Q813,Kyrgyzstan,republic in Central Asia,"kg, Kirgizia, Kyrgyz Republic, 🇰🇬",https://en.wikipedia.org/wiki/Kyrgyzstan
6769727,http://www.wikidata.org/entity/Q819,Laos,republic in Southeast Asia,"la, Lao PDR, Lao People's Democratic Republic, 🇱🇦",https://en.wikipedia.org/wiki/Laos
8463400,http://www.wikidata.org/entity/Q801,Israel,country in Western Asia,"Holy Land, il, 🇮🇱, State of Israel, the Jewish state, ישראל",https://en.wikipedia.org/wiki/Israel
8610000,http://www.wikidata.org/entity/Q863,Tajikistan,republic in Central Asia,"Republic of Tajikistan, tj, 🇹🇯",https://en.wikipedia.org/wiki/Tajikistan
