population,country,countryLabel,countryContent,countryAlias,countryWikilink
1612,http://www.wikidata.org/entity/Q34020,Niue,island country in the South Pacific Ocean,"nu, Niuē, 🇳🇺",https://en.wikipedia.org/wiki/Niue
9876,http://www.wikidata.org/entity/Q672,Tuvalu,country in Oceania,"Ellice Islands, tv, 🇹🇻",https://en.wikipedia.org/wiki/Tuvalu
10084,http://www.wikidata.org/entity/Q697,Nauru,republic in Oceania,"Naoero, nr, Pleasant Island, Republic of Nauru, 🇳🇷",https://en.wikipedia.org/wiki/Nauru
20918,http://www.wikidata.org/entity/Q695,Palau,republic in Oceania,"Belau, Pelew, pw, Republic of Belau, Republic of Palau, 🇵🇼",https://en.wikipedia.org/wiki/Palau
52634,http://www.wikidata.org/entity/Q709,Marshall Islands,country in Oceania,"mh, Aolepān Aorōkin M̧ajeļ, Republic of the Marshall Islands, 🇲🇭",https://en.wikipedia.org/wiki/Marshall%20Islands
102351,http://www.wikidata.org/entity/Q710,Kiribati,island nation in the central Pacific Ocean,"Republic of Kiribati, 🇰🇮",https://en.wikipedia.org/wiki/Kiribati
103549,http://www.wikidata.org/entity/Q702,Federated States of Micronesia,country in Oceania,"FSM, fm, Micronesia, Fed. Sts. Micronesia, Fed. Sts. of Micronesia, Federated States of Micronesia, FSM, 🇫🇲",https://en.wikipedia.org/wiki/Federated%20States%20of%20Micronesia
105323,http://www.wikidata.org/entity/Q678,Tonga,country in Oceania,🇹🇴,https://en.wikipedia.org/wiki/Tonga
190372,http://www.wikidata.org/entity/Q683,Samoa,country in Oceania,"ws, Independent State of Samoa, Western Samoa, 🇼🇸",https://en.wikipedia.org/wiki/Samoa
252763,http://www.wikidata.org/entity/Q686,Vanuatu,country in Oceania,"Republic of Vanuatu, vu, 🇻🇺",https://en.wikipedia.org/wiki/Vanuatu
561231,http://www.wikidata.org/entity/Q685,Solomon Islands,country in Oceania,"sb, 🇸🇧",https://en.wikipedia.org/wiki/Solomon%20Islands
881065,http://www.wikidata.org/entity/Q712,Fiji,country in Oceania,"fj, Republic of Fiji, 🇫🇯",https://en.wikipedia.org/wiki/Fiji
4693000,http://www.wikidata.org/entity/Q664,New Zealand,constitutional monarchy in Oceania,"Aotearoa, Dominion of New Zealand, nz, NZ, NZL, 🇳🇿",https://en.wikipedia.org/wiki/New%20Zealand
7321262,http://www.wikidata.org/entity/Q691,Papua New Guinea,republic in Oceania,"pg, PNG, Independent State of Papua New Guinea, 🇵🇬",https://en.wikipedia.org/wiki/Papua%20New%20Guinea
23130931,http://www.wikidata.org/entity/Q408,Australia,constitutional monarchy in Oceania,"AU, AUS, au, British Colony of Australia, Commonwealth of Australia",https://en.wikipedia.org/wiki/Australia
323952889,http://www.wikidata.org/entity/Q30,United States of America,federal republic in North America,"America, US, United States, USA, U.S., 🇺🇸, U.S.A., the States, the US",https://en.wikipedia.org/wiki/United%20States
