population,country,countryLabel,countryContent,countryAlias,countryWikilink
109373,http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,country in the Caribbean,"vc, St Vincent, St. Vincent, Saint Vincent, St Vincent and the Grenadines, St. Vincent and the Grenadines, 🇻🇨",https://en.wikipedia.org/wiki/Saint%20Vincent%20and%20the%20Grenadines
539276,http://www.wikidata.org/entity/Q730,Suriname,country in South America,"sr, Dutch Guiana, Surinam, Republic of Surinam, Republic of Suriname, 🇸🇷",https://en.wikipedia.org/wiki/Suriname
799613,http://www.wikidata.org/entity/Q734,Guyana,country in South America,"Co-operative Republic of Guyana, gy, Republic of Guyana, 🇬🇾",https://en.wikipedia.org/wiki/Guyana
3407062,http://www.wikidata.org/entity/Q77,Uruguay,republic in South America,"República Oriental del Uruguay, uy, 🇺🇾",https://en.wikipedia.org/wiki/Uruguay
3864170,http://www.wikidata.org/entity/Q804,Panama,republic in Central America,"pa, Republic of Panama, 🇵🇦",https://en.wikipedia.org/wiki/Panama
6802295,http://www.wikidata.org/entity/Q733,Paraguay,country in South America,"py, Republic of Paraguay, 🇵🇾",https://en.wikipedia.org/wiki/Paraguay
10671200,http://www.wikidata.org/entity/Q750,Bolivia,country in South America,"bo, 🇧🇴",https://en.wikipedia.org/wiki/Bolivia
15737878,http://www.wikidata.org/entity/Q736,Ecuador,country in South America,"ec, ecu, 🇪🇨",https://en.wikipedia.org/wiki/Ecuador
17619708,http://www.wikidata.org/entity/Q298,Chile,republic in South America,"cl, 🇨🇱, Republic of Chile, República de Chile",https://en.wikipedia.org/wiki/Chile
30375603,http://www.wikidata.org/entity/Q419,Peru,republic in South America,"Republic of Peru, República del Perú",https://en.wikipedia.org/wiki/Peru
30405207,http://www.wikidata.org/entity/Q717,Venezuela,republic in northern South America,"VE, Bolivarian Republic of Venezuela, BR Venezuela, Estados Unidos de Venezuela",https://en.wikipedia.org/wiki/Venezuela
43417000,http://www.wikidata.org/entity/Q414,Argentina,federal republic in South America,"AR, ar, 🇦🇷, Argentine Republic",https://en.wikipedia.org/wiki/Argentina
47704427,http://www.wikidata.org/entity/Q739,Colombia,republic in South America and Central America,"co, United States of Colombia, Republic of Colombia, República de Colombia",https://en.wikipedia.org/wiki/Colombia
200361925,http://www.wikidata.org/entity/Q155,Brazil,federal republic in South America,"br, Brasil, BR, Federative Republic of Brazil, República Federativa do Brasil, Estados Unidos del Brazil, Federativa República do Brasil, Republic Federative of Brasil",https://en.wikipedia.org/wiki/Brazil
