;;;p;pLabel;pContent;pAlias;pWikilink;"pPicture;"
;;;";";;;;;
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q12091;Henry Dunant;Swiss businessman and social activist;Anr? Dyunan, Errikos D?ynan, Henri Dunant, J. Henry Dunant, Jean Henri Dunant, Jean Henry Dunant;https://en.wikipedia.org/wiki/Henry%20Dunant;"http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Henri%20Dunant.jpg;"
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q180409;Frederic Passy;French economist and statesman;;https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric%20Passy;"http://commons.wikimedia.org/wiki/Special:FilePath/Frederic%20Passy.jpg;"
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q122368;Elie Ducommun;Swiss activist;;https://en.wikipedia.org/wiki/Elie%20Ducommun;"http://commons.wikimedia.org/wiki/Special:FilePath/Ducommun.jpg;"
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q179458;Charles Albert Gobat;Swiss politician and lawyer;;https://en.wikipedia.org/wiki/Charles%20Albert%20Gobat;"http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Albert%20Gobat2.jpg;"
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q189841;Randal Cremer;English politician and pacifist;Sir William Randal Cremer, William Cremer, William Randal Cremer;https://en.wikipedia.org/wiki/Randal%20Cremer;"http://commons.wikimedia.org/wiki/Special:FilePath/Cremer.jpg;"
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q33866;Theodore Roosevelt;American politician, 26th president of the United States;"Teddy, Teddy Roosevelt, Theodore ""Teddy"" Roosevelt";https://en.wikipedia.org/wiki/Theodore%20Roosevelt;"http://commons.wikimedia.org/wiki/Special:FilePath/Theodore%20Roosevelt%201901-08.jpg;"
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q12086;Ernesto Teodoro Moneta;Italian journalist, nationalist, revolutionary soldier and later a pacifist and Nobel Peace Prize Laureate.;;https://en.wikipedia.org/wiki/Ernesto%20Teodoro%20Moneta;"http://commons.wikimedia.org/wiki/Special:FilePath/Ernesto%20Teodoro%20Moneta.jpg;"
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q230814;Louis Renault;French jurist;;https://en.wikipedia.org/wiki/Louis%20Renault%20%28jurist%29;"http://commons.wikimedia.org/wiki/Special:FilePath/LouisRenault.jpg;"
People;Nobel Peace Prize Winners;1901 - 1909;http://www.wikidata.org/entity/Q192618;Klas Pontus Arnoldson;Swedish politician;;https://en.wikipedia.org/wiki/Klas%20Pontus%20Arnoldson;"http://commons.wikimedia.org/wiki/Special:FilePath/KParnoldson.jpg;"
