p,pLabel,pAlias,pContent,pWikilink,pPicture
http://www.wikidata.org/entity/Q23,George Washington,"Father of the United States, President Washington, Washington",first President of the United States,https://en.wikipedia.org/wiki/George%20Washington,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20George%20Washington-transparent.png
http://www.wikidata.org/entity/Q11806,John Adams,,2nd President of the United States,https://en.wikipedia.org/wiki/John%20Adams,http://commons.wikimedia.org/wiki/Special:FilePath/JohnAdams%202nd%20US%20President.jpg
http://www.wikidata.org/entity/Q11812,Thomas Jefferson,,3rd President of the United States of America,https://en.wikipedia.org/wiki/Thomas%20Jefferson,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Jefferson%20by%20Rembrandt%20Peale%201805%20cropped.jpg
http://www.wikidata.org/entity/Q11813,James Madison,"James Madison, Jr.",4th president of the United States (1809 to 1817),https://en.wikipedia.org/wiki/James%20Madison,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Madison.jpg
http://www.wikidata.org/entity/Q11815,James Monroe,,"American politician, 5th president of the United States (in office from 1817 to 1825)",https://en.wikipedia.org/wiki/James%20Monroe,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Monroe%2002.jpg
http://www.wikidata.org/entity/Q11816,John Quincy Adams,,"American politician, 6th president of the United States (in office from 1825 to 1829)",https://en.wikipedia.org/wiki/John%20Quincy%20Adams,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Quincy%20Adams%20by%20GPA%20Healy%2C%201858.jpg
http://www.wikidata.org/entity/Q11817,Andrew Jackson,Old Hickory,"American general and politician, 7th president of the United States",https://en.wikipedia.org/wiki/Andrew%20Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20jackson%20head.jpg
http://www.wikidata.org/entity/Q11820,Martin Van Buren,Maarten van Buren,"American politician, 8th president of the United States (in office from 1837 to 1841)",https://en.wikipedia.org/wiki/Martin%20Van%20Buren,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Van%20Buren.jpg
http://www.wikidata.org/entity/Q11869,William Henry Harrison,,"American general and politician, 9th president of the United States (in office in 1841)",https://en.wikipedia.org/wiki/William%20Henry%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Henry%20Harrison%20by%20James%20Reid%20Lambdin%2C%201835.jpg
http://www.wikidata.org/entity/Q11881,John Tyler,,"American politician, 10th president of the United States (in office from 1841 to 1845)",https://en.wikipedia.org/wiki/John%20Tyler,http://commons.wikimedia.org/wiki/Special:FilePath/WHOportTyler.jpg
http://www.wikidata.org/entity/Q11891,James K. Polk,"James Knox Polk, James Polk","American politician, 11th president of the United States (in office from 1845 to 1849)",https://en.wikipedia.org/wiki/James%20K.%20Polk,http://commons.wikimedia.org/wiki/Special:FilePath/JamesKnoxPolk.png
http://www.wikidata.org/entity/Q11896,Zachary Taylor,,"American general and politician, 12th president of the United States (in office from 1849 to 1850)",https://en.wikipedia.org/wiki/Zachary%20Taylor,http://commons.wikimedia.org/wiki/Special:FilePath/Zachary%20Taylor%20by%20Joseph%20Henry%20Bush%2C%20c1848.jpg
http://www.wikidata.org/entity/Q12306,Millard Fillmore,,"American politician, 13th president of the United States (in office from 1850 to 1853)",https://en.wikipedia.org/wiki/Millard%20Fillmore,http://commons.wikimedia.org/wiki/Special:FilePath/Millard%20Fillmore.jpg
http://www.wikidata.org/entity/Q12312,Franklin Pierce,,"American politician, 14th president of the United States (in office from 1853 to 1857)",https://en.wikipedia.org/wiki/Franklin%20Pierce,http://commons.wikimedia.org/wiki/Special:FilePath/Franklin%20Pierce.jpg
http://www.wikidata.org/entity/Q12325,James Buchanan,"James Buchanan, Jr.","American politician, 15th president of the United States (in office from 1857 to 1861)",https://en.wikipedia.org/wiki/James%20Buchanan,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Buchanan%2C%20by%20George%20Peter%20Alexander%20Healy.jpg
http://www.wikidata.org/entity/Q91,Abraham Lincoln,"Lincoln, Honest Abe, Abe Lincoln",16th President of the United States,https://en.wikipedia.org/wiki/Abraham%20Lincoln,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Lincoln%20November%201863.jpg
http://www.wikidata.org/entity/Q8612,Andrew Johnson,,"American politician, 17th president of the United States (in office from 1865 to 1869)",https://en.wikipedia.org/wiki/Andrew%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Andrew%20Johnson.jpg
http://www.wikidata.org/entity/Q34836,Ulysses S. Grant,"Ulysses Simpson Grant, Hiram Ulysses Grant, Ulysses Grant",18th President of the United States,https://en.wikipedia.org/wiki/Ulysses%20S.%20Grant,http://commons.wikimedia.org/wiki/Special:FilePath/Ugrant.jpeg
http://www.wikidata.org/entity/Q35686,Rutherford B. Hayes,"Rutherford Birchard Hayes, Rutherford Hayes","American politician, 19th president of the United States (in office from 1877 to 1881)",https://en.wikipedia.org/wiki/Rutherford%20B.%20Hayes,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Rutherford%20Hayes%201870%20-%201880%20Restored.jpg
http://www.wikidata.org/entity/Q34597,James A. Garfield,James Abram Garfield,"American politician, 20th president of the United States (in office in 1881)",https://en.wikipedia.org/wiki/James%20A.%20Garfield,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Abram%20Garfield%2C%20photo%20portrait%20seated.jpg
http://www.wikidata.org/entity/Q35498,Chester A. Arthur,"Chester Alan Arthur, Chester Arthur","American politician, 21st president of the United States (in office from 1881 to 1885)",https://en.wikipedia.org/wiki/Chester%20A.%20Arthur,http://commons.wikimedia.org/wiki/Special:FilePath/Chester%20Arthur%201880.jpg
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png
http://www.wikidata.org/entity/Q35678,Benjamin Harrison,,"American politician, 23rd president of the United States (in office from 1889 to 1893)",https://en.wikipedia.org/wiki/Benjamin%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Harrison%20%28official%20Presidential%20portrait%2C%201895%29.jpg
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png
http://www.wikidata.org/entity/Q35041,William McKinley,,"American politician, 25th president of the United States (in office from 1897 to 1901)",https://en.wikipedia.org/wiki/William%20McKinley,http://commons.wikimedia.org/wiki/Special:FilePath/Mckinley.jpg
http://www.wikidata.org/entity/Q33866,Theodore Roosevelt,"Teddy, Teddy Roosevelt, Theodore ""Teddy"" Roosevelt","American politician, 26th president of the United States",https://en.wikipedia.org/wiki/Theodore%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Theodore%20Roosevelt%201901-08.jpg
http://www.wikidata.org/entity/Q35648,William Howard Taft,"William Taft, William H. Taft","American politician, 27th president of the United States (in office from 1909 to 1913)",https://en.wikipedia.org/wiki/William%20Howard%20Taft,http://commons.wikimedia.org/wiki/Special:FilePath/WmHTaft.jpg
