p,pLabel,pAlias,pContent,pWikilink,pPicture,w,wLabel,wAlias,wContent,wWikilink,wPicture
http://www.wikidata.org/entity/Q23,George Washington,"Father of the United States, President Washington, Washington",first President of the United States,https://en.wikipedia.org/wiki/George%20Washington,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20George%20Washington-transparent.png,http://www.wikidata.org/entity/Q191789,Martha Washington,"Martha Custis, Martha Dandridge, Martha Dandridge Custis Washington",First Lady of the United States,https://en.wikipedia.org/wiki/Martha%20Washington,http://commons.wikimedia.org/wiki/Special:FilePath/Martha%20Washington.jpg
http://www.wikidata.org/entity/Q11806,John Adams,,2nd President of the United States,https://en.wikipedia.org/wiki/John%20Adams,http://commons.wikimedia.org/wiki/Special:FilePath/JohnAdams%202nd%20US%20President.jpg,http://www.wikidata.org/entity/Q206191,Abigail Adams,"Abigail Smith, Abigail Smith Adams",2nd First Lady of the United States (1797–1801),https://en.wikipedia.org/wiki/Abigail%20Adams,http://commons.wikimedia.org/wiki/Special:FilePath/Abigail%20Adams.jpg
http://www.wikidata.org/entity/Q11812,Thomas Jefferson,,3rd President of the United States of America,https://en.wikipedia.org/wiki/Thomas%20Jefferson,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Jefferson%20by%20Rembrandt%20Peale%201805%20cropped.jpg,http://www.wikidata.org/entity/Q238001,Martha Jefferson,Martha Wayles Skelton Jefferson,Firsty lady of Virginia,https://en.wikipedia.org/wiki/Martha%20Jefferson,http://commons.wikimedia.org/wiki/Special:FilePath/Martha%20Jefferson%20Randolph%20cropped.jpg
http://www.wikidata.org/entity/Q11813,James Madison,"James Madison, Jr.",4th president of the United States (1809 to 1817),https://en.wikipedia.org/wiki/James%20Madison,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Madison.jpg,http://www.wikidata.org/entity/Q233638,Dolley Madison,"Dolley Payne, Dolley Payne Todd Madison, Dolley Todd, Dolly Madison","Wife of fourth President of the United States, James Madison",https://en.wikipedia.org/wiki/Dolley%20Madison,http://commons.wikimedia.org/wiki/Special:FilePath/Dolley%20Madison.jpg
http://www.wikidata.org/entity/Q11815,James Monroe,,"American politician, 5th president of the United States (in office from 1817 to 1825)",https://en.wikipedia.org/wiki/James%20Monroe,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Monroe%2002.jpg,http://www.wikidata.org/entity/Q233628,Elizabeth Monroe,Elizabeth Kortright Monroe,American politician,https://en.wikipedia.org/wiki/Elizabeth%20Monroe,http://commons.wikimedia.org/wiki/Special:FilePath/Elizabeth%20Monroe.jpg
http://www.wikidata.org/entity/Q11816,John Quincy Adams,,"American politician, 6th president of the United States (in office from 1825 to 1829)",https://en.wikipedia.org/wiki/John%20Quincy%20Adams,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Quincy%20Adams%20by%20GPA%20Healy%2C%201858.jpg,http://www.wikidata.org/entity/Q233660,Louisa Adams,Louisa Catherine Johnson Adams,First Lady of the United States,https://en.wikipedia.org/wiki/Louisa%20Adams,http://commons.wikimedia.org/wiki/Special:FilePath/Louisa%20Catherine%20Johnson%20Adams%20by%20Gilbert%20Stuart%2C%201821-26.jpg
http://www.wikidata.org/entity/Q11817,Andrew Jackson,Old Hickory,"American general and politician, 7th president of the United States",https://en.wikipedia.org/wiki/Andrew%20Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20jackson%20head.jpg,http://www.wikidata.org/entity/Q238387,Rachel Jackson,Rachel Donelson Robards Jackson,First Lady of the United States,https://en.wikipedia.org/wiki/Rachel%20Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Rachel%20Donelson%20Jackson%20by%20Ralph%20E.%20W.%20Earl.jpg
http://www.wikidata.org/entity/Q11820,Martin Van Buren,Maarten van Buren,"American politician, 8th president of the United States (in office from 1837 to 1841)",https://en.wikipedia.org/wiki/Martin%20Van%20Buren,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Van%20Buren.jpg,http://www.wikidata.org/entity/Q255310,Hannah Van Buren,,American first lady,https://en.wikipedia.org/wiki/Hannah%20Van%20Buren,http://commons.wikimedia.org/wiki/Special:FilePath/Hannah%20van%20buren%202.jpg
http://www.wikidata.org/entity/Q11869,William Henry Harrison,,"American general and politician, 9th president of the United States (in office in 1841)",https://en.wikipedia.org/wiki/William%20Henry%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Henry%20Harrison%20by%20James%20Reid%20Lambdin%2C%201835.jpg,http://www.wikidata.org/entity/Q255190,Anna Harrison,,American politician,https://en.wikipedia.org/wiki/Anna%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Symmes%20Harrison.jpg
http://www.wikidata.org/entity/Q11881,John Tyler,,"American politician, 10th president of the United States (in office from 1841 to 1845)",https://en.wikipedia.org/wiki/John%20Tyler,http://commons.wikimedia.org/wiki/Special:FilePath/WHOportTyler.jpg,http://www.wikidata.org/entity/Q24790,Letitia Christian Tyler,"Tyler, Letitia Christian, Letitia Tyler",First Lady of the United States,https://en.wikipedia.org/wiki/Letitia%20Christian%20Tyler,http://commons.wikimedia.org/wiki/Special:FilePath/Letitia%20Tyler.jpg
http://www.wikidata.org/entity/Q11881,John Tyler,,"American politician, 10th president of the United States (in office from 1841 to 1845)",https://en.wikipedia.org/wiki/John%20Tyler,http://commons.wikimedia.org/wiki/Special:FilePath/WHOportTyler.jpg,http://www.wikidata.org/entity/Q234525,Julia Gardiner Tyler,,First Lady of the United States,https://en.wikipedia.org/wiki/Julia%20Gardiner%20Tyler,http://commons.wikimedia.org/wiki/Special:FilePath/Julia%20Tyler.jpg
http://www.wikidata.org/entity/Q11891,James K. Polk,"James Knox Polk, James Polk","American politician, 11th president of the United States (in office from 1845 to 1849)",https://en.wikipedia.org/wiki/James%20K.%20Polk,http://commons.wikimedia.org/wiki/Special:FilePath/JamesKnoxPolk.png,http://www.wikidata.org/entity/Q234285,Sarah Childress Polk,,First Lady of the United States,https://en.wikipedia.org/wiki/Sarah%20Childress%20Polk,http://commons.wikimedia.org/wiki/Special:FilePath/Polk%20sarah.jpg
http://www.wikidata.org/entity/Q11896,Zachary Taylor,,"American general and politician, 12th president of the United States (in office from 1849 to 1850)",https://en.wikipedia.org/wiki/Zachary%20Taylor,http://commons.wikimedia.org/wiki/Special:FilePath/Zachary%20Taylor%20by%20Joseph%20Henry%20Bush%2C%20c1848.jpg,http://www.wikidata.org/entity/Q234302,Margaret Taylor,"Margaret Mackall Smith ""Peggy"" Taylor",First Lady of the United States,https://en.wikipedia.org/wiki/Margaret%20Taylor,http://commons.wikimedia.org/wiki/Special:FilePath/Margaret%20Taylor.jpg
http://www.wikidata.org/entity/Q12306,Millard Fillmore,,"American politician, 13th president of the United States (in office from 1850 to 1853)",https://en.wikipedia.org/wiki/Millard%20Fillmore,http://commons.wikimedia.org/wiki/Special:FilePath/Millard%20Fillmore.jpg,http://www.wikidata.org/entity/Q234266,Abigail Fillmore,Abigail Powers Fillmore,wife of US President Millard Fillmore,https://en.wikipedia.org/wiki/Abigail%20Fillmore,http://commons.wikimedia.org/wiki/Special:FilePath/Abigail%20Fillmore%20%28Library%20of%20Congress%29.jpg
http://www.wikidata.org/entity/Q12312,Franklin Pierce,,"American politician, 14th president of the United States (in office from 1853 to 1857)",https://en.wikipedia.org/wiki/Franklin%20Pierce,http://commons.wikimedia.org/wiki/Special:FilePath/Franklin%20Pierce.jpg,http://www.wikidata.org/entity/Q238371,Jane Pierce,,American politician,https://en.wikipedia.org/wiki/Jane%20Pierce,http://commons.wikimedia.org/wiki/Special:FilePath/Jane%20Pierce%20portrait.jpg
http://www.wikidata.org/entity/Q91,Abraham Lincoln,"Lincoln, Honest Abe, Abe Lincoln",16th President of the United States,https://en.wikipedia.org/wiki/Abraham%20Lincoln,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Lincoln%20November%201863.jpg,http://www.wikidata.org/entity/Q215062,Mary Todd Lincoln,,wife of Abraham Lincoln and First Lady of the United States,https://en.wikipedia.org/wiki/Mary%20Todd%20Lincoln,http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Todd%20Lincoln2crop.jpg
http://www.wikidata.org/entity/Q8612,Andrew Johnson,,"American politician, 17th president of the United States (in office from 1865 to 1869)",https://en.wikipedia.org/wiki/Andrew%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Andrew%20Johnson.jpg,http://www.wikidata.org/entity/Q234295,Eliza McCardle Johnson,,American politician,https://en.wikipedia.org/wiki/Eliza%20McCardle%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/ElizaJohnson.jpg
http://www.wikidata.org/entity/Q34836,Ulysses S. Grant,"Ulysses Simpson Grant, Hiram Ulysses Grant, Ulysses Grant",18th President of the United States,https://en.wikipedia.org/wiki/Ulysses%20S.%20Grant,http://commons.wikimedia.org/wiki/Special:FilePath/Ugrant.jpeg,http://www.wikidata.org/entity/Q233641,Julia Grant,,First Lady of the United States,https://en.wikipedia.org/wiki/Julia%20Grant,http://commons.wikimedia.org/wiki/Special:FilePath/Julia%20Dent%20Grant.jpg
http://www.wikidata.org/entity/Q35686,Rutherford B. Hayes,"Rutherford Birchard Hayes, Rutherford Hayes","American politician, 19th president of the United States (in office from 1877 to 1881)",https://en.wikipedia.org/wiki/Rutherford%20B.%20Hayes,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Rutherford%20Hayes%201870%20-%201880%20Restored.jpg,http://www.wikidata.org/entity/Q234275,Lucy Webb Hayes,,First Lady of the United States,https://en.wikipedia.org/wiki/Lucy%20Hayes,http://commons.wikimedia.org/wiki/Special:FilePath/Lhayes.jpeg
