p,pLabel,pContent,pAlias,pWikilink,reignstart,reignend,pPicture
http://www.wikidata.org/entity/Q33923,Peter,apostle and first pope,"Simon, Saint Peter, Petrus, Pope Peter, Shimon, Simeon, Simon Peter",https://en.wikipedia.org/wiki/Saint%20Peter,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Peter%20A33446.jpg
http://www.wikidata.org/entity/Q47144,Linus,2nd Pope of the Catholic Church,"Pope Linus, Pope Saint Linus, Saint Linus",https://en.wikipedia.org/wiki/Pope%20Linus,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Linus.gif
http://www.wikidata.org/entity/Q80450,Anacletus,3rd Pope of the Catholic Church,"Cletus, Pope Anacletus",https://en.wikipedia.org/wiki/Pope%20Anacletus,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Cletus.jpg
http://www.wikidata.org/entity/Q42887,Clement I,4th Pope of the Catholic Church,"San Clemente, Clement, Saint Clement, Clemens I, Clemens Romanus, Clement of Rome, Iklīmindis al-Rūmānī, of Rome, Pope Clement, of Rome, Pope Clement I, Pope Clement I, Pope Kelemen I, Pope Klemens I, Pope Klēmēs I, Pope Klyment I, Pope Klymentiĭ I, Pope Saint Clement I, Rymsʼkyĭ, Pope Klyment I, Saint Clement I, von Rom, Pope Klemens I, Κλήμης Ῥώμης, اكليمندس الروماني",https://en.wikipedia.org/wiki/Pope%20Clement%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/StClement1.jpg
http://www.wikidata.org/entity/Q47746,Evaristus,5th Pope of the Catholic Church,"Aristus, Pope Evaristus",https://en.wikipedia.org/wiki/Pope%20Evaristus,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Evaristo.jpg
http://www.wikidata.org/entity/Q80028,Alexander I,6th Pope of the Catholic Church,"Alexander, Pope Alexander I",https://en.wikipedia.org/wiki/Pope%20Alexander%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Alessandro%20I.jpg
http://www.wikidata.org/entity/Q81634,Sixtus I,pope,"Sixtus, Pope Sixtus I",https://en.wikipedia.org/wiki/Pope%20Sixtus%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Sisto%20I.jpg
http://www.wikidata.org/entity/Q81647,Telesphorus,pope,Pope Telesphorus,https://en.wikipedia.org/wiki/Pope%20Telesphorus,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Telesforo.jpg
http://www.wikidata.org/entity/Q80604,Hyginus,9th Pope,"Hyginus Papa, Pope Hyginus",https://en.wikipedia.org/wiki/Pope%20Hyginus,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hyginus.jpg
http://www.wikidata.org/entity/Q83198,Pius I,10th pope,"Pius, Pope Pius I",https://en.wikipedia.org/wiki/Pope%20Pius%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Pius%20I.jpg
