p,pLabel,pAlias,pContent,pNationality,pWikilink,pPicture
http://www.wikidata.org/entity/Q117041,Selwyn Edge,,British businessman and racing driver,,https://en.wikipedia.org/wiki/Selwyn%20Edge,http://commons.wikimedia.org/wiki/Special:FilePath/Mr%20S.%20F.%20Edge%20and%20his%2016HP%20Napier%20Car%206067362615.jpg
http://www.wikidata.org/entity/Q171499,Tim Schenken,,racecar driver,,https://en.wikipedia.org/wiki/Tim%20Schenken,http://commons.wikimedia.org/wiki/Special:FilePath/Tim%20Schenken%201971%20Hockenheim.JPG
http://www.wikidata.org/entity/Q4440,Eric Bana,,Australian film and television actor,,https://en.wikipedia.org/wiki/Eric%20Bana,http://commons.wikimedia.org/wiki/Special:FilePath/Eric%20Bana%20at%20the%202009%20Tribeca%20Film%20Festival.jpg
http://www.wikidata.org/entity/Q172072,Larry Perkins,Larry Clifton Perkins,Australian racecar driver,,https://en.wikipedia.org/wiki/Larry%20Perkins,http://commons.wikimedia.org/wiki/Special:FilePath/Cowangie%20-%20Hometown%20of%20Larry%20Perkins.jpg
http://www.wikidata.org/entity/Q172076,Vern Schuppan,,Australian racing driver,,https://en.wikipedia.org/wiki/Vern%20Schuppan,http://commons.wikimedia.org/wiki/Special:FilePath/Schholhay%2083-98%20%281%29.JPG
http://www.wikidata.org/entity/Q172076,Vern Schuppan,,Australian racing driver,,https://en.wikipedia.org/wiki/Vern%20Schuppan,http://commons.wikimedia.org/wiki/Special:FilePath/Schuppan%20962CR.jpg
http://www.wikidata.org/entity/Q172091,David Walker,Dave Walker,Australian racing driver,,https://en.wikipedia.org/wiki/David%20Walker%20%28racing%20driver%29,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Walker%201971%20Lotus%2056%20B%20Pratt%20Whitney.jpg
http://www.wikidata.org/entity/Q172342,Paul Hawkins,,racecar driver,,https://en.wikipedia.org/wiki/Paul%20Hawkins%20%28racing%20driver%29,http://commons.wikimedia.org/wiki/Special:FilePath/Hawkins%2C%20Paul%201966.jpg
http://www.wikidata.org/entity/Q1732688,Karl Reindler,,Australian racing driver,,https://en.wikipedia.org/wiki/Karl%20Reindler,http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Reindler.JPG
http://www.wikidata.org/entity/Q1783224,Peter Brock,"The King of the Mountain, Peter Geoffrey Brock",Australian racecar driver,,https://en.wikipedia.org/wiki/Peter%20Brock,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Brock%20autographs%20Bathurst%202005.jpg
http://www.wikidata.org/entity/Q2549712,Daryl Beattie,,Australian motorcycle racer,,https://en.wikipedia.org/wiki/Daryl%20Beattie,http://commons.wikimedia.org/wiki/Special:FilePath/Daryl%20Beattie%202007%20Oct.jpg
http://www.wikidata.org/entity/Q2742848,Rick Kelly,,Australian racecar driver,,https://en.wikipedia.org/wiki/Rick%20Kelly,http://commons.wikimedia.org/wiki/Special:FilePath/Rick%20Kelly%202009.jpg
http://www.wikidata.org/entity/Q82667,Mark Webber,"Mark Alan Webber, Webber, Mark Alan","racing driver, 2015 World Endurance Drivers' Champion, 2002-2013 Formula 1 driver",,https://en.wikipedia.org/wiki/Mark%20Webber,http://commons.wikimedia.org/wiki/Special:FilePath/Mark%20Webber%202008.jpg
http://www.wikidata.org/entity/Q82816,Daniel Ricciardo,Danny Ric,Australian racing driver,,https://en.wikipedia.org/wiki/Daniel%20Ricciardo,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Ricciardo%202015%20Malaysia.jpg
http://www.wikidata.org/entity/Q1387128,Lee Priest,,Australian bodybuilder,,https://en.wikipedia.org/wiki/Lee%20Priest,
