p,pLabel,pAlias,pContent,pNationality,pPicture
http://www.wikidata.org/entity/Q3234,Jochen Rindt,Karl Jochen Rindt,German racing driver,,http://commons.wikimedia.org/wiki/Special:FilePath/Rindt%2C%20Jochen%201968.jpg
http://www.wikidata.org/entity/Q4203,Felix Baumgartner,"Fearless Felix, Felix Baumgarten, Felix Baumgartener, Highest sky dive, Supersonic Skydive","Austrian skydiver, daredevil and BASE jumper",,http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Baumgartner%202013.jpg
http://www.wikidata.org/entity/Q7667,Franz Klammer,,"An Austrian skier, an Olympic champion",,http://commons.wikimedia.org/wiki/Special:FilePath/Franz%20Klammer%20%28Gala-Nacht%20des%20Sports%202009%29.jpg
http://www.wikidata.org/entity/Q38338,Lucas Auer,,Austrian racing driver,,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20F3%20HockenheimringII%20Lucas%20Auer%20by%202eight%208SC4307.jpg
http://www.wikidata.org/entity/Q78499,Alexander Wurz,"Alex Wurz, Wurz, Alexander","racing driver, 1996 & 2009 Le Mans winner, 1997-2007 Formula One and 2012-2015 World Endurance Championship driver",,http://commons.wikimedia.org/wiki/Special:FilePath/Alex%20Wurz%202006.jpg
http://www.wikidata.org/entity/Q78556,Mathias Lauda,,Austrian race car driver,,http://commons.wikimedia.org/wiki/Special:FilePath/Mathias%20Lauda.jpg
http://www.wikidata.org/entity/Q78653,Philipp Eng,,Austrian racing driver,,http://commons.wikimedia.org/wiki/Special:FilePath/Philipp%20Eng.JPG
http://www.wikidata.org/entity/Q78682,Hans Knauß,,austrian alpine skier,,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Knauss%20Kitzbuehel%202000.jpg
http://www.wikidata.org/entity/Q78840,Walter Grubmüller,,Austrian racing driver,,http://commons.wikimedia.org/wiki/Special:FilePath/Walter%20Grubm%C3%BCller%202012.JPG
http://www.wikidata.org/entity/Q85493,Richard Lietz,"Lietz, Richard","sportscar racing driver, 2015 winner of the FIA World Endurance Cup for GT Drivers",,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20lietz%20portrait.jpg
http://www.wikidata.org/entity/Q87090,Philipp Peter,,Austrian racing driver,,
http://www.wikidata.org/entity/Q87102,Dominik Kraihamer,"Kraihamer, Dominik",racing driver for Rebellion Racing in the World Endurance Championship,,http://commons.wikimedia.org/wiki/Special:FilePath/Dominik%20Kraihamer%20-%20Le%20Mans%202012.JPG
http://www.wikidata.org/entity/Q87104,Nikolaus Mayr-Melnhof,,Racecar driver,,
http://www.wikidata.org/entity/Q87114,Franz Konrad,,German racing driver,,
http://www.wikidata.org/entity/Q87849,Bernhard Auinger,,Austrian racing driver,,
http://www.wikidata.org/entity/Q89037,Raimund Baumschlager,,Austrian racing driver,,http://commons.wikimedia.org/wiki/Special:FilePath/Baumschlager2008.jpg
http://www.wikidata.org/entity/Q89434,Gunther Philipp,,Austrian actor,,
http://www.wikidata.org/entity/Q89637,Michele Bartyan,,Austrian racecar driver,,
http://www.wikidata.org/entity/Q89792,Willi Steindl,,Austrian racecar driver,,
http://www.wikidata.org/entity/Q90005,Toto Wolff,Torger Christian Wolff,Austrian racecar driver and investor,,http://commons.wikimedia.org/wiki/Special:FilePath/Toto%20Wolff%202010.jpg
http://www.wikidata.org/entity/Q90266,Franz Wurz,,Austrian racing driver,,http://commons.wikimedia.org/wiki/Special:FilePath/Franz%20Wurz.jpg
http://www.wikidata.org/entity/Q112074,Andreas Zuber,,Austrian racecar driver,,
http://www.wikidata.org/entity/Q112133,Franz Tost,,Austrian racing driver,,
http://www.wikidata.org/entity/Q1343320,Ferdinand Stuck,,Austrian racing driver,,
http://www.wikidata.org/entity/Q1352005,Erich Breinsberg,,,,
http://www.wikidata.org/entity/Q1354589,Otto Breg,,Austrian weightlifter,,
http://www.wikidata.org/entity/Q994676,Wolfgang Denzel,,Austrian entrepreneur and racing driver,,
http://www.wikidata.org/entity/Q1032270,Ferdinand Zvonimir von Habsburg,,Hungarian racing driver,,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Habsburg.jpg
http://www.wikidata.org/entity/Q1574958,Heinrich Schönfeldt,,Austrian engineer (1884-1963),,
http://www.wikidata.org/entity/Q1583549,Hans von Veyder-Malberg,,,,
http://www.wikidata.org/entity/Q1584684,Harald Proczyk,,,,
http://www.wikidata.org/entity/Q1610691,Hermann Bischof,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Atsbg75grid.JPG
http://www.wikidata.org/entity/Q1612544,Hermann Rützler,,Austrian photographer,,
http://www.wikidata.org/entity/Q5927655,Hubert Stromberger,,Austrian racing driver,,
http://www.wikidata.org/entity/Q26214507,Karl Foitek,,,,
http://www.wikidata.org/entity/Q694640,Patrick Ortlieb,,downhill skier,,http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20Ortlieb%20-%20Gala%20Nacht%20des%20Sports%202010.jpg
http://www.wikidata.org/entity/Q7425034,Sascha Plöderl,,Austrian racing driver,,
http://www.wikidata.org/entity/Q15613472,Josef Hütterer,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Josef%20H%C3%BCtterer.jpg
http://www.wikidata.org/entity/Q15810303,Franz Seidl,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seidl%20B%C3%BCchner%20Tandem.jpg
http://www.wikidata.org/entity/Q15845492,Willy Siller,,Austrian racing driver,,
http://www.wikidata.org/entity/Q16937841,Martin Pfundner,,Austrian racing driver,,
http://www.wikidata.org/entity/Q19544786,Günther Huber,,Austrian racecar driver,,
http://www.wikidata.org/entity/Q19947529,Walter Lechner,,Austrian racing driver,,
http://www.wikidata.org/entity/Q19958472,Gerold Pankl,,Austrian racecar driver,,
